"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 13 19:49:08 GMT 2020","Sun Dec 13 19:49:09 GMT 2020","1144","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:49:09 GMT 2020","Sun Dec 13 19:49:10 GMT 2020","1077","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:49:13 GMT 2020","Sun Dec 13 19:49:14 GMT 2020","700","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:49:10 GMT 2020","Sun Dec 13 19:49:11 GMT 2020","678","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:49:04 GMT 2020","Sun Dec 13 19:49:08 GMT 2020","4485","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:49:14 GMT 2020","Sun Dec 13 19:49:15 GMT 2020","766","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:49:15 GMT 2020","Sun Dec 13 19:49:16 GMT 2020","1014","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:49:11 GMT 2020","Sun Dec 13 19:49:12 GMT 2020","677","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Dec 13 19:49:12 GMT 2020","Sun Dec 13 19:49:13 GMT 2020","1250","Surefire suite","Surefire test","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
